result,closest_prior_work,relationship,release_claim
Smooth affine fibre,Louca and Pennell 2020 plus standard integrating factor,"model-specific reparameterisation; exact measure/order interpretation not located","Potentially original synthesis, not a new integrating factor"
Stieltjes event completion,Lambert and Stadler 2013; Hohna 2015,"event concepts and process laws antecedent; single fibre coordinate is an extension/reformulation","New only in the coupled affine fibre"
Fixed-stem finite-event law,linear birth-death descendant laws and event-aware reconstructed processes,"self-contained normalization and invariance statement under specified conditioning","Plausible extension; specialist audit required"
All-cap phase theorem,elementary differential inequalities,"new consequence in this model coordinate; generic inequality technique antecedent","Exact sharpening for turnover-capped congruence fibres"
Finite interval envelopes,McShane/Whitney extension and isotonic Lipschitz methods,"generic formula antecedent; biological coordinate and certificates are application-specific","Model-specific exact projection and diagnostic synthesis"
Minimum compatible cap,directed Lipschitz slope requirement,"elementary corollary","Useful model-specific certificate rather than standalone mathematical novelty"
Endpoint-sampling law,Irwin-Hall distribution and order statistics,"generic probability antecedent; endpoint application and sample-complexity consequence are new synthesis","Significance theorem for finite congruence-class exploration"
Mammal illustration,Upham et al. 2021,"source data reused as fixed-signal sensitivity","No empirical novelty claim"
Fixed-stem count and node-age factorisation,"Nee et al. 1994; Gernhard 2008; Stadler 2010; Stadler and Steel 2019; Lambert and Stadler 2013","direct reconstructed-process and coalescent-point-process antecedents; present theorem uses an explicit topology-marginal sample space","Reformulation and integration, not a new branching-process law"
Exact geometric tip-count interval,standard discrete tail inversion,"standard exact confidence construction applied to p=1/F(T)","Application-specific component, not standalone statistical novelty"
Simultaneous node-age CDF band,"Dvoretzky--Kiefer--Wolfowitz inequality; Massart 1990","tight distribution-free empirical-CDF band applied conditionally on tip count","Antecedent statistical result"
Honest pulled-scale confidence set,"fixed-stem factorisation plus DKW and partial-identification confidence-set logic; Chernozhukov et al. 2007","monotone propagation and confidence-containing union couple established ingredients","Potentially new synthesis; residual priority uncertainty retained"
Monotone/Lipschitz envelopes,"McShane 1934; Whitney 1934; Micchelli et al. 1976; Yeganova and Wilbur 2009","generic extension and isotonic-Lipschitz methods are antecedents","Model-specific formula and diagnostic coupling"
Product-integral event representation,"Gill and Johansen 1990 plus event-aware birth-death literature","counting-process product integration and reconstructed-event laws are antecedents","Model-specific Stieltjes synthesis only"
